Model,Company,Price,Rating,No_of_ratings,TotalReviwes,RamSize,RomSize
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",SAMSUNG,11499,4.3,101336,9764,4 GB,64 GB
"Nothing Phone (1) (Black, 256 GB)",Nothing,35499,4.3,5975,693,12 GB,256 GB
"Nothing Phone (1) (Black, 128 GB)",Nothing,25999,4.3,39201,5306,8 GB,128 GB
"MOTOROLA G51 5G (Indigo Blue, 64 GB)",MOTOROLA,12999,4.1,16473,2057,4 GB,64 GB
"I Kall King Talking, Contact icon and Auto Call Recording",I,744,3.6,14932,1394,32 MB,32 MB
"OPPO K10 (Black Carbon, 128 GB)",OPPO,16990,4.3,5053,432,8 GB,128 GB
"REDMI 10A (Charcoal Black, 64 GB)",REDMI,8579,4.2,7695,484,4 GB,64 GB
"APPLE iPhone 12 (Black, 128 GB)",APPLE,57999,4.6,185701,12675,128 GB,Not Known
LAVA 34 Ultra,LAVA,1649,4.1,1418,160,24 MB,32 MB
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,19698,4.3,784,58,8 GB,128 GB
Snexian GURU 310,Snexian,698,3.3,18230,1475,32 MB,32 MB
Nokia 105 PLUS,Nokia,1549,4.1,5686,404,4 MB,4 MB
MTR Ferrari,MTR,1300,4.1,6207,449,64 MB,64 MB
MTR Ferrari,MTR,1300,4.1,6207,449,64 MB,64 MB
"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)",SAMSUNG,14699,4.1,402,28,6 GB,128 GB
MU M5000,MU,1179,3.9,2295,287,32 MB,32 MB
LAVA A1,LAVA,1129,4.2,107469,11417,24 MB,24 MB
"Tecno Spark 9 (Infinity Black, 64 GB)",Tecno,8479,4.1,293,23,4 GB,64 GB
"Infinix HOT 20 5G (Blaster Green, 64 GB)",Infinix,11499,4.2,831,107,4 GB,64 GB
SAMSUNG GT-E1215,SAMSUNG,1663,4.3,53933,4504,NA ROM,Not Known
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,19298,4.3,784,58,8 GB,128 GB
DIZO Star 500,DIZO,1999,4,12294,1460,32 MB,32 MB
itel It2171,itel,999,4.1,3569,328,32 MB,32 MB
"OPPO F19s (Glowing Gold, 128 GB)",OPPO,19990,4.5,8966,505,6 GB,128 GB
LAVA A1 2021,LAVA,1129,4.1,3851,343,32 MB,24 MB
"Infinix Zero 20 (Green Fantasy, 128 GB)",Infinix,17999,4.4,449,80,8 GB,128 GB
"Infinix Zero 20 (DEEP GRAY, 128 GB)",Infinix,17999,4.4,449,80,8 GB,128 GB
"vivo Y01 (Elegant Black, 32 GB)",vivo,7999,4.3,549,40,2 GB,32 GB
"realme Narzo 50i (Carbon Black, 64 GB)",realme,8999,4.3,61879,3488,4 GB,64 GB
Nokia 105 TA-1416 DS,Nokia,1599,4.1,4334,319,32 MB,32 MB
KARBONN KX3,KARBONN,993,3.9,8355,652,32 MB,32 MB
itel Ace 2N,itel,899,4.2,354,17,4 MB,4 MB
LAVA A1 2021,LAVA,1119,4.1,1913,187,0 MB,Expandable Upto
GFive V8,GFive,725,3.8,767,52,32 MB,32 MB
"IQOO Neo 6 5G (Dark Nova, 128 GB)",IQOO,30199,4.3,754,91,8 GB,128 GB
"vivo Y01A (Sapphire Blue, 32 GB)",vivo,7999,4.2,544,32,2 GB,32 GB
"realme 9 Pro+ 5G (Aurora Green, 128 GB)",realme,23499,4.4,27012,3068,8 GB,128 GB
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",realme,21499,4.4,30596,3739,6 GB,128 GB
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",realme,23499,4.4,27012,3068,8 GB,128 GB
"realme 9 Pro+ 5G (Aurora Green, 256 GB)",realme,25499,4.4,27012,3068,8 GB,256 GB
"realme C35 (Glowing Green, 128 GB)",realme,12999,4.4,159779,9431,4 GB,128 GB
"APPLE iPhone 12 (Purple, 128 GB)",APPLE,57999,4.6,185701,12675,128 GB,Not Known
"REDMI Note 11S (Horizon Blue, 64 GB)",REDMI,15399,4.2,2082,170,6 GB,64 GB
"REDMI 9 Activ (Coral Green, 128 GB)",REDMI,10499,4.2,4552,308,6 GB,128 GB
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",vivo,24999,4.3,14613,1579,8 GB,128 GB
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",SAMSUNG,18300,4.2,7179,613,6 GB,128 GB
LAVA A3 Power,LAVA,1329,4.1,1769,172,0 GB,Expandable Upto
"realme 9 Pro+ 5G (Aurora Green, 256 GB)",realme,25499,4.4,27012,3068,8 GB,256 GB
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",realme,23499,4.4,27012,3068,8 GB,128 GB
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",realme,21499,4.4,30596,3739,6 GB,128 GB
"realme 9 Pro+ 5G (Aurora Green, 128 GB)",realme,23499,4.4,27012,3068,8 GB,128 GB
LAVA A1 2021,LAVA,1119,4.1,1913,187,0 MB,Expandable Upto
"Infinix Note 12 TURBO (Jewel Blue, 128 GB)",Infinix,13999,4.2,7196,925,8 GB,128 GB
MTR Ferrari,MTR,1300,4.1,6207,449,64 MB,64 MB
"Infinix Note 12 TURBO (Force Black, 128 GB)",Infinix,13999,4.2,7196,925,8 GB,128 GB
"REDMI K50i (Quick Silver, 128 GB)",REDMI,24998,4.2,310,26,6 GB,128 GB
itel it2175,itel,1095,4,326,34,4 MB,4 MB
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",realme,24999,4.5,4381,565,6 GB,128 GB
Nokia 105 PLUS,Nokia,1549,4.1,5686,404,4 MB,4 MB
"Infinix Note 12 Pro (Volcanic Grey, 256 GB)",Infinix,14999,4.2,2968,337,8 GB,256 GB
"realme 9 5G SE (Azure Glow, 128 GB)",realme,19999,4.4,25528,2116,6 GB,128 GB
"realme 9 5G SE (Starry Glow, 128 GB)",realme,19999,4.4,25528,2116,6 GB,128 GB
"realme C30s (Stripe Black, 32 GB)",realme,7499,4.5,3975,143,2 GB,32 GB
"REDMI 9i (Sea Blue, 64 GB)",REDMI,8999,4.3,575907,33942,4 GB,64 GB
LAVA A1 Super 2021,LAVA,1199,4,2088,161,32 MB,24 MB
Micromax X415,Micromax,925,3.9,747,66,32 MB,32 MB
Micromax X415,Micromax,957,3.9,1083,77,56 MB,36 MB
"realme C11 2021 (Cool Grey, 64 GB)",realme,8999,4.3,204720,11070,4 GB,64 GB
"APPLE iPhone 13 (Blue, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
"realme C11 2021 (Cool Blue, 64 GB)",realme,8999,4.3,204720,11070,4 GB,64 GB
"Itel Magic2 4G( WiFi,Hotspot Tethering)",Itel,2450,4,18315,2667,64 MB,128 MB
"MOTOROLA g22 (Cosmic Black, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
BlackZone B-312 Gold,BlackZone,889,3.7,588,34,10 MB,10 MB
SAMSUNG GURU 1200,SAMSUNG,1599,4,1087,76,NA MB,Not Known
"REDMI K50i 5G (Stealth Black, 128 GB)",REDMI,24830,4.2,874,126,6 GB,128 GB
"Infinix HOT 20 5G (Space Blue, 64 GB)",Infinix,11499,4.2,831,107,4 GB,64 GB
"APPLE iPhone 11 (White, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
Nokia 125 DS 2020,Nokia,2099,3.9,5895,402,4 MB,4 MB
"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)",REDMI,17990,4.2,275,19,6 GB,128 GB
"IQOO Neo 6 5G (Dark Nova, 128 GB)",IQOO,30329,4.3,754,91,8 GB,128 GB
"realme C25_Y (Glacier Blue, 64 GB)",realme,10999,4.5,46231,2216,4 GB,64 GB
"realme C25_Y (Metal Grey, 128 GB)",realme,11999,4.5,46231,2216,4 GB,128 GB
MTR MT322,MTR,749,3.7,26,3,32 MB,32 MB
Micromax X702,Micromax,1120,3.6,220,14,32 MB,32 MB
"SAMSUNG GALAXY M13 5G (Aqua Green, 128 GB)",SAMSUNG,14838,4.1,402,28,6 GB,128 GB
"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",SAMSUNG,19722,4.3,784,58,8 GB,128 GB
"vivo Y33T (Mid day dream, 128 GB)",vivo,16990,4.4,2462,175,8 GB,128 GB
"POCO M5 (Power Black, 64 GB)",POCO,10999,4.3,2782,214,4 GB,64 GB
"APPLE iPhone 12 mini (White, 64 GB)",APPLE,38999,4.5,123326,9923,64 GB,Not Known
"itel Vision3 (Multi Green, 32 GB)",itel,5766,4.3,43,3,2 GB,32 GB
LAVA A1 Super 2021,LAVA,1199,4,2088,161,32 MB,24 MB
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",SAMSUNG,11490,4.2,1860,131,4 GB,64 GB
"realme 9 5G SE (Azure Glow, 128 GB)",realme,22999,4.3,2263,210,8 GB,128 GB
"realme 9 5G SE (Starry Glow, 128 GB)",realme,22999,4.3,2263,210,8 GB,128 GB
"Redmi 9A Sport (Coral Green, 32 GB)",Redmi,7499,4.2,5872,437,3 GB,32 GB
"OPPO A16 (Crystal Black, 64 GB)",OPPO,12990,4.3,3670,262,4 GB,64 GB
"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,15829,4.2,872,85,8 GB,128 GB
"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)",MOTOROLA,59999,4.2,194,54,12 GB,256 GB
Nokia 125 DS 2020,Nokia,2099,3.9,5895,402,4 MB,4 MB
itel Power 410,itel,1499,4.1,1689,163,4 MB,4 MB
SAMSUNG Guru Music 2 SM-B315E,SAMSUNG,2022,4.2,9103,662,Expandable Upto,Not Known
"vivo Y33T (Mid day dream, 128 GB)",vivo,16990,4.4,2462,175,8 GB,128 GB
"POCO M5 (Icy Blue, 64 GB)",POCO,10999,4.3,2782,214,4 GB,64 GB
"Moto G71 5G (Arctic Blue, 128 GB)",Moto,16999,4.2,21817,2541,6 GB,128 GB
SAMSUNG GURU 1200,SAMSUNG,1599,4,1087,76,NA MB,Not Known
Nokia 125 TA-1253 DS,Nokia,2099,4,2787,188,4 MB,4 MB
"OPPO A16 (Pearl Blue, 64 GB)",OPPO,12990,4.3,3670,262,4 GB,64 GB
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",vivo,23999,4.4,7325,702,6 GB,128 GB
"realme 9i 5G (Metallica Gold, 128 GB)",realme,16999,4.3,4970,354,6 GB,128 GB
"vivo Y15c (Wave Green, 32 GB)",vivo,9948,4.1,1047,75,3 GB,32 GB
Kechaoda A26,Kechaoda,1150,4.1,14177,1019,32 MB,32 MB
"realme Narzo 50 (Speed Blue, 64 GB)",realme,12999,4.5,14747,936,4 GB,64 GB
"APPLE iPhone 11 (Red, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
"realme Narzo 50 (Speed Blue, 128 GB)",realme,15499,4.4,7120,534,6 GB,128 GB
Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
"REDMI Note 10 Lite (Glacier White, 128 GB)",REDMI,19900,4.3,843,67,6 GB,128 GB
"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)",realme,25499,4.4,27012,3068,8 GB,256 GB
"realme C25_Y (Metal Grey, 64 GB)",realme,10999,4.5,46231,2216,4 GB,64 GB
"realme C25_Y (Glacier Blue, 128 GB)",realme,11999,4.5,46231,2216,4 GB,128 GB
GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
"Redmi Note 11 PRO Plus 5G (Stealth Black, 128 GB)",Redmi,20295,4.2,5366,457,6 GB,128 GB
LAVA 34 Ultra,LAVA,1647,4.1,1418,160,24 MB,32 MB
"REDMI 10A SPORT (SEA BLUE, 128 GB)",REDMI,10417,4,548,37,6 GB,128 GB
itel Ace 2N,itel,899,4.2,354,17,4 MB,4 MB
"realme 8 5G (Supersonic Black, 128 GB)",realme,16499,4.3,75662,6017,4 GB,128 GB
"APPLE iPhone 14 Plus (Blue, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
itel it2175,itel,1099,4,326,34,4 MB,4 MB
"REDMI 10A (Sea Blue, 64 GB)",REDMI,8998,4.2,7695,484,4 GB,64 GB
"APPLE iPhone 11 (Black, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
"itel A49 (Crystal Purple, 32 GB)",itel,5699,4.2,466,29,2 GB,32 GB
"REDMI 9 Activ (Coral Green, 64 GB)",REDMI,9999,4.2,9079,644,4 GB,64 GB
"MOTOROLA e22s (Eco Black, 64 GB)",MOTOROLA,9189,4.2,21,0,4 GB,64 GB
"POCO M5 (Power Black, 64 GB)",POCO,10999,4.3,2782,214,4 GB,64 GB
"OPPO Reno8 5G (Shimmer Black, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
"OPPO Reno8 5G (Shimmer Gold, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
"Tecno Pop 5 LTE (Ice Blue, 32 GB)",Tecno,6485,4.2,667,41,2 GB,32 GB
itel IT5626,itel,1749,4,1205,127,8 MB,8 MB
itel IT5626,itel,1749,4,1205,127,8 MB,8 MB
"APPLE iPhone 11 (Green, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
"IQOO Z6 5G (Chromatic Blue, 128 GB)",IQOO,18499,4.1,307,23,8 GB,128 GB
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,17490,4.2,7179,613,6 GB,128 GB
"REDMI Note 11 SE (Space Black, 64 GB)",REDMI,11999,4.3,30409,1886,6 GB,64 GB
GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
"POCO M5 (Icy Blue, 128 GB)",POCO,12999,4.3,1359,93,6 GB,128 GB
"APPLE iPhone 14 Plus (Blue, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
Nokia TA-1304/105 SS,Nokia,1349,4.2,62955,4933,4 MB,4 MB
itel it2175,itel,1099,4,326,34,4 MB,4 MB
"REDMI 10A (Sea Blue, 64 GB)",REDMI,8998,4.2,7695,484,4 GB,64 GB
Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
"APPLE iPhone 11 (Black, 128 GB)",APPLE,44999,4.6,176742,10518,128 GB,Not Known
"REDMI 10 Power (Sporty Orange, 128 GB)",REDMI,13949,4.1,503,32,8 GB,128 GB
"itel A49 (Crystal Purple, 32 GB)",itel,5699,4.2,466,29,2 GB,32 GB
"POCO X4 Pro 5G (Yellow, 128 GB)",POCO,21999,4.1,14202,1467,8 GB,128 GB
"OPPO Reno8 5G (Shimmer Black, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
itel it2163S,itel,989,4,563,53,4 MB,4 MB
"OPPO Reno8 5G (Shimmer Gold, 128 GB)",OPPO,29999,4.3,32029,4184,8 GB,128 GB
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",Redmi,13999,4.3,26637,1828,4 GB,128 GB
"IQOO Z6 5G (Chromatic Blue, 128 GB)",IQOO,18499,4.1,307,23,8 GB,128 GB
itel IT5626,itel,1749,4,1205,127,8 MB,8 MB
"APPLE iPhone 11 (Green, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
itel IT5626,itel,1749,4,1205,127,8 MB,8 MB
"REDMI Note 10 Pro (Vintage Bronze, 128 GB)",REDMI,17999,4.3,41637,3899,6 GB,128 GB
DIZO Star 500,DIZO,1890,4,12294,1460,32 MB,32 MB
"APPLE iPhone 14 Plus (Starlight, 256 GB)",APPLE,92999,4.6,412,48,256 GB,Not Known
Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
"realme 9 Pro 5G (Aurora Green, 128 GB)",realme,20999,4.3,13963,1127,8 GB,128 GB
"MOTOROLA e32s (Slate Gray, 64 GB)",MOTOROLA,8849,3.8,1332,161,4 GB,64 GB
"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,16700,4.2,872,85,8 GB,128 GB
"Redmi 9A Sport (Carbon Black, 32 GB)",Redmi,6789,4.1,24369,1859,2 GB,32 GB
"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)",SAMSUNG,14888,4.1,402,28,6 GB,128 GB
"realme 9 Pro 5G (Midnight Black, 128 GB)",realme,20999,4.3,13963,1127,8 GB,128 GB
"realme 9i 5G (Soulful Blue, 128 GB)",realme,16999,4.3,4970,354,6 GB,128 GB
"REDMI Note 11 Pro (Phantom White, 128 GB)",REDMI,17830,4.2,978,80,6 GB,128 GB
itel U20,itel,1099,4.1,867,69,4 MB,32 MB
LAVA A1 Josh,LAVA,1029,4.2,32124,3152,4 MB,1 KB
"Infinix HOT 20 5G (Racing Black, 64 GB)",Infinix,11499,4.2,831,107,4 GB,64 GB
Micromax X746,Micromax,1450,4,20881,2240,32 MB,32 MB
"realme C20 (Cool Grey, 32 GB)",realme,7499,4.4,296108,14044,2 GB,32 GB
Micromax J2,Micromax,940,3.7,301,17,32 MB,32 MB
"realme 8i (Space Purple, 64 GB)",realme,13999,4.5,171965,10805,4 GB,64 GB
"realme 8i (Space Black, 64 GB)",realme,13999,4.5,171965,10805,4 GB,64 GB
SAMSUNG GURU 1200,SAMSUNG,1690,4.1,459,28,4 MB,4 MB
Kechaoda K90,Kechaoda,1599,3.5,72,8,32 MB,32 MB
"APPLE iPhone 13 (Green, 128 GB)",APPLE,60999,4.7,177611,9781,128 GB,Not Known
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",SAMSUNG,11499,4.3,101336,9764,4 GB,64 GB
"APPLE iPhone 14 Plus (Starlight, 256 GB)",APPLE,92999,4.6,412,48,256 GB,Not Known
"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)",SAMSUNG,41999,4.2,1256,165,8 GB,128 GB
"IQOO 9 5G (Alpha, 256 GB)",IQOO,39990,4,34,4,12 GB,256 GB
"vivo Y21G (Diamond Glow, 64 GB)",vivo,13499,4.3,1985,159,4 GB,64 GB
"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)",SAMSUNG,41999,4.2,1256,165,8 GB,128 GB
"Redmi Note 11 (Horizon Blue, 128 GB)",Redmi,14990,4.2,9161,718,6 GB,128 GB
"REDMI 9 Activ (Carbon Black, 64 GB)",REDMI,8091,4.2,9079,644,4 GB,64 GB
"Infinix Zero 20 (Glitter Gold, 128 GB)",Infinix,17999,4.4,449,80,8 GB,128 GB
"APPLE iPhone 14 Plus (Starlight, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
"Google Pixel 7 (Obsidian, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",SAMSUNG,11570,4.1,95,7,4 GB,64 GB
"Google Pixel 7 (Lemongrass, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,16700,4.2,872,85,8 GB,128 GB
"REDMI 10 Prime 2022 (Astral White, 64 GB)",REDMI,11797,4.2,3015,216,4 GB,64 GB
"POCO M3 Pro 5G (Power Black, 128 GB)",POCO,17999,4.2,52420,4434,6 GB,128 GB
"REDMI Note 11S (Polar White, 128 GB)",REDMI,16480,4.2,2082,170,6 GB,128 GB
"MOTOROLA g22 (Mint Green, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
Kechaoda K66 The Music House 4,Kechaoda,1180,3.9,15548,1207,32 MB,64 MB
Kechaoda K66 The Music House 4,Kechaoda,1165,3.9,15548,1207,32 MB,64 MB
Kechaoda K66 The Music House 4,Kechaoda,1199,3.9,15548,1207,32 MB,64 MB
"realme narzo 50 5G (Hyper Blue, 128 GB)",realme,17489,4.3,4,0,6 MB,128 GB
Kechaoda A26,Kechaoda,1199,4.1,14177,1019,32 MB,32 MB
Kechaoda K33,Kechaoda,1130,4,8248,552,32 MB,32 MB
Kechaoda K115,Kechaoda,1138,4.1,28686,2225,32 MB,32 MB
Kechaoda K115,Kechaoda,1180,4.1,28686,2225,32 MB,32 MB
Kechaoda K115,Kechaoda,1140,4.1,28686,2225,32 MB,32 MB
"Redmi Note 11 (Horizon Blue, 128 GB)",Redmi,14990,4.2,9161,718,6 GB,128 GB
"Google Pixel 7 (Obsidian, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
"OnePlus 10R 5G (Sierra Black, 128 GB)",OnePlus,34998,4.3,1460,128,8 GB,128 GB
"OPPO A17 (Lake Bule, 64 GB)",OPPO,13400,4.4,1044,45,4 GB,64 GB
"realme 9 5G SE (Azure Glow, 128 GB)",realme,22999,4.3,2263,210,8 GB,128 GB
"POCO M3 Pro 5G (Power Black, 128 GB)",POCO,17999,4.2,52420,4434,6 GB,128 GB
"APPLE iPhone 14 Plus (Starlight, 128 GB)",APPLE,82999,4.6,412,48,128 GB,Not Known
"REDMI Note 11S (Horizon Blue, 128 GB)",REDMI,16698,4.2,872,85,8 GB,128 GB
Kechaoda K66 The Music House 4,Kechaoda,1199,3.9,15548,1207,32 MB,64 MB
Kechaoda K66 The Music House 4,Kechaoda,1165,3.9,15548,1207,32 MB,64 MB
"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)",SAMSUNG,11570,4.1,95,7,4 GB,64 GB
"APPLE iPhone 11 (Purple, 64 GB)",APPLE,39999,4.6,176742,10518,64 GB,Not Known
Kechaoda K33,Kechaoda,1130,4,8248,552,32 MB,32 MB
GREENBERRI F1,GREENBERRI,1299,3.9,1511,116,64 MB,64 MB
"REDMI Note 11S (Polar White, 128 GB)",REDMI,16480,4.2,2082,170,6 GB,128 GB
"MOTOROLA g22 (Mint Green, 64 GB)",MOTOROLA,9499,3.7,26741,3220,4 GB,64 GB
"realme narzo 50 5G (Hyper Blue, 128 GB)",realme,17489,4.3,4,0,6 MB,128 GB
"Google Pixel 7 (Lemongrass, 128 GB)",Google,59999,4.4,1775,329,8 GB,128 GB
Kechaoda K66 The Music House 4,Kechaoda,1180,3.9,15548,1207,32 MB,64 MB
"SAMSUNG Galaxy M32 (Light Blue, 64 GB)",SAMSUNG,13490,4.2,4237,431,4 GB,64 GB
KARBONN K9 Punch,KARBONN,1490,3.9,17,2,52 MB,32 MB
"REDMI Note 10S (Deep Sea Blue, 128 GB)",REDMI,18499,4.2,7183,667,8 GB,128 GB
KARBONN K9 PUNCH,KARBONN,1480,3.9,17,2,52 MB,32 MB
Nokia TA-1010/105,Nokia,1445,4.2,21319,1704,4 MB,4 MB
"POCO X4 Pro 5G (Yellow, 64 GB)",POCO,18999,4.2,61334,6308,6 GB,64 GB
SAMSUNG GURU GT,SAMSUNG,1695,4.1,3207,204,153 MB,153 MB
"Redmi Note 11 (Space Black, 64 GB)",Redmi,12520,4.2,9194,843,4 GB,64 GB
"OPPO A74 5G BLACK (Fluid Black, 128 GB)",OPPO,17480,4.3,1770,138,6 GB,128 GB
"MOTOROLA G40 Fusion (Frosted Champagne, 128 GB)",MOTOROLA,16499,4.2,55864,6036,6 GB,128 GB
"OPPO Reno7 5G (Startrails Blue, 256 GB)",OPPO,28999,4.2,16442,2134,8 GB,256 GB
"APPLE iPhone 12 mini (Red, 256 GB)",APPLE,52999,4.5,123326,9923,256 GB,Not Known
"MOTOROLA Edge 30 Fusion (Cosmic grey, 128 GB)",MOTOROLA,39999,4.3,1806,343,8 GB,128 GB
"Redmi Note 11 (Space Black, 64 GB)",Redmi,13849,4.2,9161,718,6 GB,64 GB
MU M5000,MU,1299,3.9,2295,287,32 MB,32 MB
"SAMSUNG S20 FE 5G (Cloud Navy, 128 GB)",SAMSUNG,34466,4.2,3658,419,8 GB,128 GB
"IQOO Z6 Pro 5G (Legion Sky, 128 GB)",IQOO,23300,4.3,208,16,6 GB,128 GB
"SAMSUNG M53 5G (Deep Ocean Blue, 128 GB)",SAMSUNG,24999,4.2,421,42,6 GB,128 GB
"SAMSUNG Galaxy A53 (Awesome Black, 128 GB)",SAMSUNG,31999,4,563,67,6 GB,128 GB
Micromax X421,Micromax,1049,4.1,1894,150,32 MB,32 MB
"REDMI 11 Prime 5G (Thunder Black, 128 GB)",REDMI,15899,4.2,174,15,6 GB,128 GB
Salora Coral,Salora,899,3.8,521,49,32 MB,32 MB
"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)",SAMSUNG,19974,4.3,784,58,8 GB,128 GB
"OPPO A15S (Fancy white, 128 GB)",OPPO,11999,4.3,5488,302,4 GB,128 GB
Micromax J22,Micromax,1273,3.6,168,12,32 MB,32 MB
"OPPO A15S (Rainbow Silver, 64 GB)",OPPO,11480,4.3,5488,302,4 GB,64 GB
"OPPO A15s (Dynamic Black, 128 GB)",OPPO,12990,4.3,5488,302,4 GB,128 GB
"SAMSUNG Galaxy M33 5G (Emarld Brown, 128 GB)",SAMSUNG,19974,4.3,784,58,8 GB,128 GB
Micromax J22,Micromax,1273,3.6,168,12,32 MB,32 MB
"OPPO A15S (Fancy white, 128 GB)",OPPO,11999,4.3,5488,302,4 GB,128 GB
"OPPO A15s (Dynamic Black, 128 GB)",OPPO,12990,4.3,5488,302,4 GB,128 GB
"OPPO A15S (Rainbow Silver, 64 GB)",OPPO,11480,4.3,5488,302,4 GB,64 GB
"realme C21Y (Cross Black, 64 GB)",realme,10499,4.5,253614,9536,4 GB,64 GB
"realme 8 (Cyber Black, 128 GB)",realme,15999,4.4,121458,10620,4 GB,128 GB
KARBONN K9 Yuva,KARBONN,1330,3.9,571,38,64 MB,32 KB
"REDMI A1 (Light Blue, 32 GB)",REDMI,6348,4.2,1893,141,2 GB,32 GB
"REDMI A1 (Black, 32 GB)",REDMI,6458,4.2,1893,141,2 GB,32 GB
"REDMI A1 (Light Green, 32 GB)",REDMI,6305,4.2,1893,141,2 GB,32 GB
Salora Coral,Salora,899,3.8,521,49,32 MB,32 MB
Micromax X755,Micromax,1429,3.8,4454,403,32 MB,32 MB
"Tecno Pova 3 (Eco Black, 64 GB)",Tecno,10955,4.2,253,12,4 GB,64 GB
LAVA Hero 600+,LAVA,999,4.1,7896,720,4 MB,3 MB
"Tecno Spark 9T (Turquoise Cyan, 64 GB)",Tecno,9370,4.3,48,4,4 GB,64 GB
KARBONN K9 max,KARBONN,1499,4,3494,319,64 MB,64 MB
"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)",APPLE,92999,4.6,412,48,256 GB,Not Known
Nokia 110 TA-1302 DS,Nokia,1714,4,24647,1954,4 MB,4 MB
"POCO M3 (Yellow, 64 GB)",POCO,10999,4.3,124433,8927,4 GB,64 GB
Kechaoda K10,Kechaoda,1095,3.9,13841,908,32 MB,32 MB
"Infinix Hot 11 (Emerald Green, 64 GB)",Infinix,9999,4.3,16022,1375,4 GB,64 GB
Kechaoda K28,Kechaoda,1480,4.1,2691,241,32 MB,64 MB
itel Magic3 Smart Touch Keypad,itel,1499,4.1,786,72,8 MB,8 MB
"POCO X4 Pro 5G (Laser Black, 64 GB)",POCO,18999,4.2,61334,6308,6 GB,64 GB
Micromax J2,Micromax,917,3.7,301,17,32 MB,32 MB
"realme Narzo 30 (Racing Blue, 128 GB)",realme,15499,4.3,76114,6042,6 GB,128 GB
"IQOO Z6 Pro 5G (Legion Sky, 128 GB)",IQOO,23300,4.3,208,16,6 GB,128 GB
"Redmi Note 11 (Space Black, 64 GB)",Redmi,12520,4.2,9194,843,4 GB,64 GB
Kechaoda K33,Kechaoda,1119,4,8248,552,32 MB,32 MB
"SAMSUNG M53 5G (Emerald Brown, 128 GB)",SAMSUNG,24790,4.2,421,42,6 GB,128 GB
LAVA A1 2021,LAVA,1279,4.1,3851,343,32 MB,24 MB
